engine,track,schema_id,session_id,owner_id,module,structure,byte_class,sharing_scope,retained_estimate_bytes,non_overlapping_reducible_bytes,logical_bytes,item_count,mapped_file_bytes,mapping_mode,evidence_source,notes
yune,track-a-comparison,luna_pinyin,78,reverse_lookup.entries,reverse_lookup,entries,shared_or_overlapping,shared_or_overlapping,0,0,0,0,0,lazy_unloaded,yune_m43_memory_owner_profile_json,lazy reverse-lookup dictionary is not retained until used
yune,track-a-comparison,luna_pinyin,78,reverse_lookup.comments_index,reverse_lookup,comments_index,shared_or_overlapping,shared_or_overlapping,0,0,0,0,0,lazy_unloaded,yune_m43_memory_owner_profile_json,lazy reverse-comment side index is not retained until used
yune,track-a-comparison,luna_pinyin,78,reverse_lookup.config,reverse_lookup,config,heap_owned_required,session_or_process_heap,40,0,0,1,0,ReverseLookupTranslator,yune_m43_memory_owner_profile_json,prefix/suffix/tag/comment-format state for the reverse lookup translator
yune,track-a-comparison,luna_pinyin,78,translator.entries_by_code,translator,entries_by_code,shared,shared_reference,0,0,0,0,0,compact_table,yune_m43_memory_owner_profile_json,compact storage path does not retain a translator BTreeMap
yune,track-a-comparison,luna_pinyin,78,compact_table.syllabary_codes,compact_table,syllabary_codes,heap_owned_reducible,session_or_process_heap,13685,13685,0,424,0,Vec<String>,yune_m43_memory_owner_profile_json,canonical code list retained for prism lookup
yune,track-a-comparison,luna_pinyin,78,compact_table.syllable_ids_by_code,compact_table,syllable_ids_by_code,heap_owned_reducible,session_or_process_heap,15757,15757,0,424,0,"HashMap<String, usize>",yune_m43_memory_owner_profile_json,rsmarisa lookup side map retained on heap
yune,track-a-comparison,luna_pinyin,78,compact_table.storage,compact_table,storage,mmap_file_backed,file_mapping,13013460,0,0,498564,13013460,byte_backed:mmap,yune_m43_memory_owner_profile_json,rsmarisa table bytes are excluded from heap-owned branch triggers when mapped
yune,track-a-comparison,luna_pinyin,78,compact_table.candidate_text_payload,compact_table,candidate_text_payload,shared_or_overlapping,shared_or_overlapping,13013460,0,13013460,498564,0,byte_backed,yune_m43_memory_owner_profile_json,candidate text payload; byte-backed rows overlap compact_table.storage
yune,track-a-comparison,luna_pinyin,78,compact_table.candidate_comment_payload,compact_table,candidate_comment_payload,shared_or_overlapping,shared_or_overlapping,0,0,0,498564,0,byte_backed,yune_m43_memory_owner_profile_json,candidate raw comments/code payload; byte-backed rows overlap compact_table.storage
yune,track-a-comparison,luna_pinyin,78,compact_table.stems,compact_table,stems,heap_owned_required,session_or_process_heap,48,0,0,0,0,"HashMap<String, Vec<String>>",yune_m43_memory_owner_profile_json,retained phrase-code stems needed for lookup records and dictionary panels
yune,track-a-comparison,luna_pinyin,78,compact_table.lookup_records,compact_table,lookup_records,shared,shared_reference,0,0,0,0,0,none,yune_m43_memory_owner_profile_json,no lookup-record payload retained for this compact table
